Land,Open,CPR,Photos,Status,MLS#,Price,Original Price,$ Change,% Change,Region,Neighborhood,Address,City,Zip,Parcel Number,Zone,Section,Plat,Parcel/Lot,CPR,Terms,Sold Price,Sold Date,Sold Ratio,Orig. Ratio,Concessions,Beds,Bath,Living Sq Ft,Average Living,Land Sq Ft,Acres,Average Land,Year,Remodeled,List Date,Days,Condition,Tax,Maint. Fee,Assoc. Fee,Other Fee,Fee Includes,Total Fees,Land,Building,Assessed Total,Assessed Ratio,Elementary,Junior High,High,Zoning,Flood Zone,Seller's Agent,Seller's Office,Buyer's Agent,Buyer's Office,View,Frontage,Pool,Parking,Flooring,Roofing,Roads,Easements,Topography,Stories
FS,,,19,Sold,202120980,1250000,1250000,0,0,HawaiiKai,Kalama Valley,1148 Kahului Street ,Honolulu,96825,1-3-9-086-104-0000,3,9,86,104,0,None,1380000,10/4/2021,1.104,0.9058,,4,3,2160,578.7037037,7540,0.17,165.7824934,1979,2018,8/16/2021,16,Excellent,145,0,0,0,,0,691600,252300,943900,1.3243,,,,05 - R-5 Residential District,Zone D,Heather Chung,Coldwell Banker Realty,Branden J Fredrick,Homequest LLC,"City,Mountain,Other",,None,"3 Car+,Driveway,Street",Laminate,Tile,Paved Rd,Drainage,Up Slope,One
FS,,,24,Sold,202120506,1398000,1398000,0,0,Metro,Salt Lake,3481 Ala Akulikuli Street ,Honolulu,96818,1-1-1-052-001-0000,1,1,52,1,0,None,1398000,10/4/2021,1,1,,3,3.1,2234,625.7833483,6451,0.15,216.7105875,1970,2021,8/11/2021,26,Excellent,388,0,0,0,,0,801600,212800,1014400,1.3782,,,,05 - R-5 Residential District,Zone X,John Peterson,Coldwell Banker Realty,Dora J Woo,Moana Realty LLC,"City,Garden,Mountain",,None,"2 Car,Carport,Driveway,Street","Ceramic Tile,Vinyl","Asphalt Shingle,Other","County Rd,Paved Rd","Electric,Other",Level,One
FS,,,25,Sold,202113439,1575000,1629000,-54000,-0.0331,Metro,Moiliili,752 University Avenue ,Honolulu,96826,1-2-7-011-025-0000,2,7,11,25,0,None,1500000,10/4/2021,0.9524,1.086,,5,2.1,2054,766.7964946,6711,0.15,234.689316,1945,,6/1/2021,79,Average,473,0,0,0,,0,1319500,113900,1433400,1.0988,Kuhio,Washington,Kaimuki,12 - A-2 Medium Density Apartme,Zone X,Jodie Tsukamoto Yoshino,Island Pacific Real Estate LLC,Nana Thain,Locations LLC,None,,None,"3 Car+,Carport,Street","Hardwood,Vinyl,W/W Carpet",Composition,County Rd,None,Level,"One,Two"
FS,,,25,Sold,202119998,1050000,1050000,0,0,DiamondHd,Kuliouou,719 Kalaau Place ,Honolulu,96821,1-3-8-017-024-0000,3,8,17,24,0,None,1106000,10/1/2021,1.0533,0.9494,,3,2,1200,875,9100,0.21,115.3846154,1982,2013,8/13/2021,12,Excellent,232,0,0,0,,0,670000,122700,792700,1.3246,Hahaione,Niu Valley,Kaiser,04 - R-7.5 Residential District,Zone D,Lena Ching Aipa,BHGRE Advantage Realty,Jason K Sugawara,JKS Properties LLC,"City,Mountain,Ocean,Sunset",,None,"3 Car+,Driveway,Garage,Street",Vinyl,Asphalt Shingle,Graded,Drainage,Up Slope,One
FS,,,13,Sold,202120399,1050000,1050000,0,0,DiamondHd,Palolo,3530 Pakui Street ,Honolulu,96816,1-3-3-034-003-0000,3,3,34,3,0,None,995000,10/1/2021,0.9476,1.0553,,3,2,928,1131.465517,5000,0.11,210,1972,2021,8/9/2021,12,"Above Average,Average",247,0,0,0,,0,680000,165600,845600,1.2417,Aliiolani,Jarrett,Kaimuki,05 - R-5 Residential District,Zone X,Heidi Ho,Luva LLC,Jennifer Lee Chong,Lee International Properties,"City,Mountain",,None,2 Car,"Ceramic Tile,Vinyl,W/W Carpet",Asphalt Shingle,County Rd,None,Level,One
FS,,,25,Sold,202118887,1068000,1068000,0,0,HawaiiKai,Koko Head Terrace,429 Lanipuao Street ,Honolulu,96825,1-3-9-046-039-0000,3,9,46,39,0,None,1168000,10/1/2021,1.0936,0.9144,,3,2,1452,735.5371901,5100,0.12,209.4117647,1968,2021,7/27/2021,7,Above Average,176,0,0,0,,0,649300,92700,742000,1.4394,Koko Head,Niu Valley,Kaiser,05 - R-5 Residential District,Zone D,Herwin C Hung,Island Pacific Real Estate LLC,Wendy W Lee,"Loyal Realty, LLC",Mountain,,None,"2 Car,Carport,Driveway,Street","Vinyl,W/W Carpet",Composition,Paved Rd,None,Level,One
FS,,,7,Sold,202115816,1100000,1200000,-100000,-0.0833,Metro,Mccully,1736 Fern Street ,Honolulu,96826,1-2-3-031-007-0000,2,3,31,7,0,None,950000,10/1/2021,0.8636,1.2632,,3,1,1816,605.7268722,4899,0.11,224.5356195,1935,1950,6/17/2021,40,Tear Down,322,0,0,0,,0,1034100,67100,1101200,0.9989,Lunalilo,Washington,Kaimuki,12 - A-2 Medium Density Apartme,Zone A,Calvin C Ching,Assoc. Financial Profiles Inc,Christina Dong,"Five Star Realty, Inc.",None,,None,1 Car,Vinyl,Composition,"County Rd,Paved Rd",None,Level,One
FS,,,11,Sold,202119952,995000,995000,0,0,HawaiiKai,Koko Head Terrace,900 Aipo Street ,Honolulu,96825,1-3-9-063-069-0000,3,9,63,69,0,None,1050000,9/30/2021,1.0553,0.9476,,3,1.1,992,1003.024194,6000,0.14,165.8333333,1971,2019,8/5/2021,12,Excellent,210,0,0,0,,0,764600,66800,821400,1.2113,Kamiloiki,Niu Valley,Kaiser,05 - R-5 Residential District,Zone D,Linda L Aganos,"Hawaiian Properties, Ltd.",James S Chan,Compass,Other,Other,None,2 Car,Other,Asphalt Shingle,Paved Rd,Electric,"Gentle Slope,Level,Up Slope",One
FS,,,23,Sold,202115893,998000,998000,0,0,HawaiiKai,Kalama Valley,1149 Namahealani Place C,Honolulu,96825,1-3-9-092-062-0000,3,9,92,62,0,None,998000,9/30/2021,1,1,,3,2,1038,961.4643545,4050,0.09,246.4197531,1985,,7/28/2021,21,Excellent,227,0,0,0,,0,657200,260300,917500,1.0877,,,,05 - R-5 Residential District,Zone D,Patrick K Lum,Coldwell Banker Realty,Geraldine C Supapo,Caron B Realty,Mountain,,None,"3 Car+,Driveway,Garage,Street","Ceramic Tile,W/W Carpet","Asphalt Shingle,Wood Shake",County Rd,"None,Electric,Telephone",Level,One
FS,,,25,Sold,202104290,1195000,1249000,-54000,-0.0432,DiamondHd,St. Louis,2006 Oswald Street ,Honolulu,96816,1-3-3-058-013-0000,3,3,58,13,0,None,1125000,9/30/2021,0.9414,1.1102,,5,2,1536,777.9947917,5652,0.13,211.4295824,1955,1975,2/23/2021,153,Above Average,264,0,0,0,,0,799500,208500,1008000,1.1855,,,,05 - R-5 Residential District,Zone X,Scott F Steiner,Coldwell Banker Realty,Cora M Ishinaga,Coldwell Banker Realty,"City,Coastline,Diamond Head,Mountain,Ocean,Sunrise,Sunset",,None,"3 Car+,Carport","Hardwood,Vinyl",Asphalt Shingle,County Rd,None,Terraced,Two
FS,,,25,Sold,202118082,1199999,1199999,0,0,Metro,Salt Lake,1320 Ala Leie Street ,Honolulu,96818,1-1-1-066-037-0000,1,1,66,37,0,None,1365000,9/30/2021,1.1375,0.8791,,3,2.1,1568,765.3054847,7993,0.18,150.1312398,1985,,7/12/2021,9,Average,452,0,0,0,,0,883100,200000,1083100,1.1079,Moanalua,Moanalua,Moanalua,04 - R-7.5 Residential District,Zone X,Cherrieann Diaz,Coldwell Banker Realty,Coco He,"Five Star Realty, Inc.","City,Mountain",,None,"3 Car+,Driveway,Garage,Street","Other,W/W Carpet",Wood Shake,Paved Rd,None,Gentle Slope,One
FS,,,20,Sold,202120482,1399000,1399000,0,0,Metro,Manoa-upper,3609 Kumulani Street ,Honolulu,96822,1-2-9-063-002-0000,2,9,63,2,0,None,1500000,9/30/2021,1.0722,0.9327,,5,3.1,2662,525.5447032,7904,0.18,176.9989879,1960,,8/10/2021,10,"Above Average,Average",300,0,0,0,,0,1101400,66800,1168200,1.1976,Manoa,Stevenson,Roosevelt,04 - R-7.5 Residential District,Zone X,Jason Y Nishikawa,Marcus Realty,Ashley Zhu,Plumeria Hawaii Properties LLC,"Mountain,Ocean",,None,"3 Car+,Carport,Driveway,Street","Ceramic Tile,Hardwood,Laminate,Other",Asphalt Shingle,County Rd,None,"Down Slope,Level,Terraced",Two
FS,,,6,Sold,202120985,1500000,1500000,0,0,Metro,Pauoa Valley,2921 Booth Road ,Honolulu,96813,1-2-2-040-002-0000,2,2,40,2,0,None,1470000,9/30/2021,0.98,1.0204,,5,2,878,1708.428246,16555,0.38,90.60706735,1929,,8/16/2021,7,"Needs Major Repair,Tear Down",271,0,0,0,,0,972300,18900,991200,1.5133,,,,05 - R-5 Residential District,Zone X,Kenneth E Keast,Coldwell Banker Realty,Michael KSC Wong,eXp Realty,"Coastline,Mountain",Other,None,3 Car+,Other,Asphalt Shingle,Paved Rd,"Driveway,Other",Up Slope,Two
FS,,,3,Sold,202121962,950000,950000,0,0,DiamondHd,St. Louis,1642 Alencastre Street ,Honolulu,96816,1-3-3-050-093-0000,3,3,50,93,0,Probate,900000,9/29/2021,0.9474,1.0556,,4,2,1648,576.4563107,5416,0.12,175.4062038,1946,1951,8/31/2021,0,"Fair,Needs Major Repair",246,0,0,0,,0,832000,12600,844600,1.1248,,,,05 - R-5 Residential District,Zone X,Ky Lao,"Five Star Realty, Inc.",Thompson H Pham,"Five Star Realty, Inc.","City,Diamond Head",,None,"3 Car+,Carport,Driveway",W/W Carpet,Asphalt Shingle,Paved Rd,None,"Gentle Slope,Up Slope",Two
FS,,,19,Sold,202118472,1200000,1200000,0,0,Metro,Salt Lake,1315 Ala Puaala Way ,Honolulu,96818,1-1-1-066-008-0000,1,1,66,8,0,None,1265000,9/29/2021,1.0542,0.9486,,4,2,1443,831.6008316,7723,0.18,155.3800337,1970,,7/23/2021,12,Average,265,0,0,0,,0,867700,129300,997000,1.2036,Moanalua,Moanalua,Moanalua,04 - R-7.5 Residential District,Zone X,Sandra S Omiya,"One Realty, Incorporated",Corey T Kawai,Lifetime Properties LLC,None,,None,"2 Car,Driveway","Vinyl,W/W Carpet",Asphalt Shingle,County Rd,None,Level,One
FS,,,25,Sold,202119679,1200000,1200000,0,0,DiamondHd,Wilhelmina,1976 Paula Drive ,Honolulu,96816,1-3-3-021-066-0000,3,3,21,66,0,None,1211000,9/29/2021,1.0092,0.9909,,3,2,2224,539.5683453,8250,0.19,145.4545455,1949,,8/3/2021,7,"Fair,Needs Major Repair",447,0,0,0,,0,1006500,75500,1082000,1.1091,,,,05 - R-5 Residential District,Zone X,Spencer Shishido,Quality Properties,Jeanie Schmaltz,Hawaii Life,"City,Coastline,Diamond Head,Garden,Mountain,Ocean",Other,None,"2 Car,Driveway,Garage,Street","Hardwood,Laminate,W/W Carpet",Composition,Paved Rd,None,"Gentle Slope,Steep Slope",Two
FS,,,25,Sold,202120269,1250000,1250000,0,0,Metro,Dowsett,3404 Kaohinani Drive ,Honolulu,96817,1-2-2-050-063-0000,2,2,50,63,0,None,1250000,9/29/2021,1,1,5000,2,2,1380,905.7971014,10000,0.23,125,1953,1964,8/6/2021,10,Average,528,0,0,0,,0,939100,287300,1226400,1.0192,Nuuanu,Kawananakoa,Roosevelt,03 - R10 - Residential District,Zone X,Darcie Y Kaneshiro,"Property Profiles, Inc.",Gene Neal,Redfin Corporation,None,Other,None,3 Car+,"Hardwood,Vinyl,W/W Carpet",Other,Paved Rd,"Electric,Sewer",Gentle Slope,One
FS,,,24,Sold,202119656,1049000,1049000,0,0,DiamondHd,Aina Haina Area,5332 Keikilani Circle ,Honolulu,96821,1-3-6-009-035-0000,3,6,9,35,0,None,1215000,9/28/2021,1.1582,0.8634,,4,1,1088,964.1544118,6258,0.14,167.6254394,1950,,7/29/2021,9,Average,220,0,0,0,,0,845000,84700,929700,1.1283,Aina Haina,Niu Valley,Kalani,04 - R-7.5 Residential District,Zone X,Nicholaus D Morris,Locations LLC,Gaylien S Hall,"Properties of the Pacific, LLC",Mountain,Other,None,"3 Car+,Boat,Carport,Driveway,Street","Vinyl,W/W Carpet",Asphalt Shingle,County Rd,None,Level,One
FS,,Yes,11,Sold,202120957,1590000,1780000,-190000,-0.1067,DiamondHd,Palolo,2021 10th Avenue B,Honolulu,96816,1-3-3-036-019-0002,3,3,36,19,2,None,1500000,9/28/2021,0.9434,1.1867,,3,3.1,3329,477.6209072,18441,0.42,86.22092077,2021,,8/22/2021,13,Excellent,130,0,0,0,,0,444300,0,444300,3.5787,Palolo,Jarrett,Kaimuki,05 - R-5 Residential District,Zone X,Bryn W Kaufman,OahuRE.com,Ebonee Barbadillo,"Inspired Life Realty, LLC","City,Mountain,Ocean,Sunset",,None,3 Car+,Vinyl,Custom/Specialty,Paved Rd,"Driveway,Electric,Telephone,Wa","Gentle Slope,Hilly",Three+
FS,,,1,Sold,202124765,800000,800000,0,0,Metro,Liliha,,Honolulu,96817,1-1-7-043-024-0000,1,7,43,24,0,None,800000,9/27/2021,1,1,,5,2.1,1888,423.7288136,3831,0.09,208.8227617,1960,1966,8/14/2021,44,"Needs Major Repair,Tear Down",196,0,0,0,,0,520400,159800,680200,1.1761,Lanakila,Kawananakoa,Mckinley,05 - R-5 Residential District,Zone X,Gaylien S Hall,"Properties of the Pacific, LLC",Sophia Lam,Luxury Homes International,"City,Garden",,None,"1 Car,Driveway,Street",Vinyl,Composition,"County Rd,Paved Rd",Water,Level,Two
FS,,,24,Sold,202029162,940000,975000,-35000,-0.0359,DiamondHd,Aina Haina Area,815 Ahuwale Street ,Honolulu,96821,1-3-6-020-042-0000,3,6,20,42,0,None,965000,9/27/2021,1.0266,1.0104,,4,2,2682,350.4847129,7500,0.17,125.3333333,1957,,11/11/2020,21,Needs Major Repair,262,0,0,0,,0,862500,177100,1039600,0.9042,Aina Haina,Niu Valley,Kalani,04 - R-7.5 Residential District,Zone X,Leane E Darling,Hawaii Life,Kumu Logan-Blomfield,Hawaii Life,Ocean,Other,None,"1 Car,Street","Ceramic Tile,Hardwood,W/W Carpet",Asphalt Shingle,None,None,"Gentle Slope,Terraced",Two
FS,,,10,Sold,202113089,1250000,1250000,0,0,DiamondHd,Diamond Head,3014 Holei Street ,Honolulu,96815,1-3-1-026-008-0000,3,1,26,8,0,Probate,1252888,9/27/2021,1.0023,0.9977,,2,3,1003,1246.261216,5000,0.11,250,1929,,5/26/2021,6,"Needs Major Repair,Tear Down",260,0,0,0,,0,710000,140300,850300,1.4701,,,,05 - R-5 Residential District,Zone X,Cathy Tong,Coldwell Banker Realty,Luis F Pasion Jr.,Horita Realty LLC,Diamond Head,,None,2 Car,Other,Wood Shake,County Rd,None,Gentle Slope,One
FS,,,2,Sold,202124825,1425000,1425000,0,0,HawaiiKai,Kalama Valley,7769 Waikapu Loop ,Honolulu,96825,1-3-9-082-009-0000,3,9,82,9,0,None,1420000,9/27/2021,0.9965,1.0035,,4,3,2984,477.5469169,6275,0.14,227.0916335,1974,2018,8/9/2021,49,Above Average,323,0,0,0,,0,732600,377200,1109800,1.284,Kamiloiki,Niu Valley,Kaiser,05 - R-5 Residential District,Zone D,Michael Shower,Compass,Dustin Geiger,Hawaii Life,Golf Course,,"In Ground,Spa/HotTub",3 Car+,"Laminate,W/W Carpet",Asphalt Shingle,County Rd,Electric,Level,Two
FS,,,20,Sold,202120317,848000,848000,0,0,Metro,Kalihi Uka,1552 Noe Street ,Honolulu,96819,1-1-4-002-016-0000,1,4,2,16,0,None,865000,9/24/2021,1.02,0.9803,,3,1,990,856.5656566,5000,0.11,169.6,1953,2011,8/7/2021,11,Excellent,85,0,0,0,,0,580000,43400,623400,1.3603,,,,07 - R-3.5 Residential District,Zone X,Barbara De Lucca,Soldier To Soldier HI Realty,John T Vallesteros,eXp Realty,Coastline,,None,"3 Car+,Driveway","Hardwood,Laminate,W/W Carpet",Asphalt Shingle,Paved Rd,Other,"Gentle Slope,Other","Basement,One"
FS,,,2,Sold,202121461,895000,895000,0,0,DiamondHd,Palolo,3454 Paalea Street ,Honolulu,96816,1-3-3-038-004-0000,3,3,38,4,0,None,850000,9/24/2021,0.9497,1.0529,5000,5,2,2112,423.7689394,4750,0.11,188.4210526,1970,,8/25/2021,4,"Needs Major Repair,Tear Down",194,0,0,0,,0,663000,142600,646100,1.3852,Palolo,Jarrett,Kaimuki,05 - R-5 Residential District,Zone X,Arlene Akemi Yamashiro,Oahu Realty,Vincent Lao,"Five Star Realty, Inc.","City,Diamond Head,Mountain,Ocean,Sunset",,None,"2 Car,Carport,Street","Hardwood,Vinyl,W/W Carpet",Composition,"County Rd,Paved Rd","Driveway,Electric",Level,Two
FS,,,19,Sold,202116344,998000,998000,0,0,Metro,Kalihi-lower,1734 Kilohi Street ,Honolulu,96819,1-1-3-023-076-0000,1,3,23,76,0,None,1065000,9/24/2021,1.0671,0.9371,,5,4,1737,574.5538284,4705,0.11,212.1147715,1974,,8/7/2021,4,Above Average,212,0,0,0,,0,709400,191200,900600,1.1082,Kaewai,Dole,Farrington,05 - R-5 Residential District,Zone X,Gerald J Frederick,"Aloha Properties, Inc.",Amber Cao,"Five Star Realty, Inc.",None,,None,"2 Car,Garage","Laminate,W/W Carpet",Composition,Paved Rd,None,Level,Two
FS,,,13,Sold,202120348,1025000,1025000,0,0,HawaiiKai,Koko Head Terrace,260 Hanakapiai Street ,Honolulu,96825,1-3-9-041-145-0000,3,9,41,145,0,None,1101000,9/24/2021,1.0741,0.931,,3,2,1496,685.1604278,5498,0.13,186.4314296,1966,2008,8/9/2021,9,Above Average,215,0,0,68,,68,727700,99900,827600,1.2385,Koko Head,Niu Valley,Kaiser,05 - R-5 Residential District,Zone D,Allison A Lum,"Plum Associates, Inc.",James S Chan,Compass,Mountain,,None,"3 Car+,Carport","Laminate,W/W Carpet",Composition,Paved Rd,Other,Level,One
FS,,,1,Sold,202124854,1050000,1050000,0,0,Metro,Pauoa Valley,2863 Booth Road ,Honolulu,96813,1-2-2-027-059-0000,2,2,27,59,0,None,1050000,9/24/2021,1,1,,4,1.1,1176,892.8571429,8440,0.19,124.4075829,1947,,5/5/2021,142,"Average,Fair",253,0,0,0,,0,777200,88600,865800,1.2128,,,,05 - R-5 Residential District,Zone X,Grace M Koreyasu,BHGRE Advantage Realty,Royce W Naito,Horita Realty LLC,"City,Garden,Mountain,Ocean,Sunset",,None,"3 Car+,Carport,Driveway","Ceramic Tile,Vinyl",Asphalt Shingle,County Rd,None,"Hilly,Level,Up Slope",One
FS,,,21,Sold,202109011,1100000,1250000,-150000,-0.12,Metro,Moiliili,2336 Coyne Street ,Honolulu,96826,1-2-8-008-086-0000,2,8,8,86,0,None,1010000,9/24/2021,0.9182,1.2376,,3,1,1068,1029.962547,4653,0.11,236.4066194,1929,2021,4/17/2021,92,Above Average,276,0,0,0,,0,836600,81500,918100,1.1981,Lunalilo,Washington,Kaimuki,05 - R-5 Residential District,Zone X,Wayne J Chi,Gloria Chi Realty Inc.,Tony Wang,Pacific Image Properties,"Garden,Mountain",,None,"3 Car+,Boat,Carport,Driveway,Street","Other,Vinyl","Asphalt Shingle,Other",County Rd,None,Level,One
FS,,,17,Sold,202115711,1150000,1150000,0,0,DiamondHd,Aina Haina Area,5124 Kalanianaole Highway ,Honolulu,96821,1-3-6-011-005-0000,3,6,11,5,0,None,1000000,9/24/2021,0.8696,1.15,,3,2,1524,754.5931759,10000,0.23,115,1928,,6/16/2021,28,Average,290,0,0,0,,0,906300,58500,964800,1.192,Aina Haina,Niu Valley,Kalani,03 - R10 - Residential District,Zone X,Danielle C Sipin,Rod Kawamoto Realty,Mathew Ngo,BHGRE Advantage Realty,None,,None,3 Car+,Other,Other,County Rd,Other,Level,One
FS,,,25,Sold,202116612,1295000,1295000,0,0,HawaiiKai,Koko Head Terrace,727 Kapaia Street ,Honolulu,96825,1-3-9-064-003-0000,3,9,64,3,0,None,1325000,9/24/2021,1.0232,0.9774,,3,2,1291,1003.098373,16980,0.39,76.26619552,1970,1921,7/14/2021,13,Excellent,215,0,0,0,,0,700100,141400,841500,1.5389,,,,05 - R-5 Residential District,Zone D,James S Farmer,Coldwell Banker Realty,Zeus Kang,eXp Realty,"Diamond Head,Mountain,Ocean",Other,Spa/HotTub,"3 Car+,Driveway","Laminate,Marble/Granite,Other",Asphalt Shingle,None,"Drainage,Electric","Gentle Slope,Level,Steep Slope",One
FS,,,25,Sold,202119252,1299000,1299000,0,0,Metro,Alewa Heights,1172 Kaumailuna Place ,Honolulu,96817,1-1-8-033-068-0000,1,8,33,68,0,None,1360000,9/24/2021,1.047,0.9551,,3,2,2415,537.8881988,7987,0.18,162.6392888,1951,2014,7/30/2021,16,"Above Average,Excellent",275,0,0,0,,0,808000,133800,941800,1.3793,,,,05 - R-5 Residential District,Zone X,Daniel K Ihara,Keller Williams Honolulu,Tony Kawaguchi,eXp Realty,"City,Coastline,Diamond Head,Garden,Golf Course,Marina/Canal,Mountain,Ocean,Sunrise,Sunset",,None,"2 Car,Street","Hardwood,Laminate",Composition,Paved Rd,Sewer,"Steep Slope,Terraced,Up Slope",Two
FS,,,25,Sold,202120262,900000,900000,0,0,HawaiiKai,Koko Head Terrace,529 Kapaia Street ,Honolulu,96825,1-3-9-051-025-0000,3,9,51,25,0,None,865000,9/22/2021,0.9611,1.0405,3000,3,1.1,1020,882.3529412,5568,0.13,161.637931,1969,,8/9/2021,19,"Fair,Needs Major Repair",220,0,0,0,,0,670500,85300,755800,1.1908,Kamiloiki,Niu Valley,Kaiser,05 - R-5 Residential District,Zone D,Steven H Lau,"Lau & Associates, LLC",Vincent Lao,"Five Star Realty, Inc.",Mountain,Other,None,"2 Car,Carport",Other,Aluminum/Steel,"County Rd,Paved Rd","Drainage,Electric","Level,Terraced",One
FS,,,25,Sold,202118517,1075000,1150000,-75000,-0.0652,Metro,Moiliili,2023 Metcalf Street ,Honolulu,96822,1-2-8-009-014-0000,2,8,9,14,0,None,1050000,9/22/2021,0.9767,1.0952,,3,1.1,910,1181.318681,3821,0.09,281.3399634,1925,,7/16/2021,21,"Above Average,Fair",233,0,0,0,,0,687900,85900,773800,1.3892,Lunalilo,Washington,,05 - R-5 Residential District,Zone X,Rolanda S Racoma,BHGRE Advantage Realty,Brock J Gobran,BHGRE Advantage Realty,None,,None,"Carport,Driveway",Vinyl,Asphalt Shingle,County Rd,None,Level,One
FS,,,18,Sold,202118964,1250000,1250000,0,0,HawaiiKai,Kalama Valley,1055 Oilipuu Place ,Honolulu,96825,1-3-9-081-012-0000,3,9,81,12,0,Subject To Replacement Property,1310000,9/22/2021,1.048,0.9542,,3,2,1614,774.4733581,6329,0.15,197.5035551,1976,,7/25/2021,9,Excellent,262,0,14,0,,14,727300,380900,1108200,1.128,Kamiloiki,Niu Valley,Kaiser,05 - R-5 Residential District,Zone D,Michael G Chung,Central Pacific Properties Inc,Erica E Taliaferro,Engel & Volkers-Honolulu,"Garden,Mountain",Other,None,"2 Car,Driveway,Garage,Street","Ceramic Tile,Laminate,W/W Carpet",Tile,County Rd,None,Level,One
FS,,,24,Sold,202119132,778000,778000,0,0,Metro,Kalihi Uka,2907 Nihi Street ,Honolulu,96819,1-1-4-002-019-0000,1,4,2,19,0,None,830000,9/21/2021,1.0668,0.9373,,3,1,864,900.462963,5000,0.11,155.6,1956,2020,7/26/2021,12,Average,160,0,0,0,,0,580000,74200,654200,1.1892,Kalihi Uka,Dole,Farrington,07 - R-3.5 Residential District,Zone X,Staci Overton-Tune,Coldwell Banker Realty,Edward W Brinkman,Brinkman Properties LLC,Garden,Other,None,"3 Car+,Carport,Driveway",Hardwood,Composition,Paved Rd,None,Level,Two
FS,,,25,Sold,202120799,795000,795000,0,0,DiamondHd,St. Louis,1523 St Louis Drive ,Honolulu,96816,1-3-3-053-018-0000,3,3,53,18,0,None,902000,9/21/2021,1.1346,0.8814,,4,2,1518,523.715415,6137,0.14,129.5421216,1932,,8/15/2021,5,"Needs Major Repair,Tear Down",253,0,0,0,,0,858300,8500,866800,0.9172,Holualoa,Jarrett,Kaimuki,05 - R-5 Residential District,Zone X,Jennifer P Peele,Royal Realty LLC,Jared Ikeda,Apartment Advisors LLC,"City,Ocean",Other,None,1 Car,Hardwood,Custom/Specialty,"County Rd,Paved Rd",Other,"Gentle Slope,Level",Two
FS,,,25,Sold,202114784,968000,928000,40000,0.0431,Metro,Kalihi-upper,2132 Wilson Street ,Honolulu,96819,1-1-3-029-050-0000,1,3,29,50,0,None,975000,9/21/2021,1.0072,0.9518,,3,2.1,1635,592.0489297,5456,0.13,177.4193548,1958,2011,6/4/2021,25,Above Average,239,0,0,0,,0,668300,149600,817900,1.1835,Kaewai,Dole,Farrington,05 - R-5 Residential District,Zone X,Ryan D Kumabe,Horita Realty LLC,Corey H Okamura,Island Pacific Real Estate LLC,None,Other,None,"Driveway,Garage",Laminate,Composition,County Rd,None,Level,One
FS,,,17,Sold,202119432,999000,888000,111000,0.125,Metro,Nuuanu-lower,452 Halapia Place ,Honolulu,96817,1-1-8-002-108-0000,1,8,2,108,0,None,1130000,9/21/2021,1.1311,0.7858,,4,2,1405,711.0320285,5002,0.11,199.720112,1963,1973,7/29/2021,11,"Average,Fair",246,0,0,0,,0,825100,152100,977200,1.0223,Maemae,Kawananakoa,Mckinley,05 - R-5 Residential District,Zone X,Frances Kuba,Horita Realty LLC,CK Liu,HomeSmart Island Homes,Garden,Other,None,2 Car,Hardwood,Asphalt Shingle,Paved Rd,None,Level,One
FS,,,1,Sold,202124538,1500000,1500000,0,0,HawaiiKai,Mariners Cove,,Honolulu,96825,1-3-9-058-019-0000,3,9,58,19,0,None,1500000,9/21/2021,1,1,,4,3,2150,697.6744186,7548,0.17,198.7281399,1970,2000,8/5/2021,47,Excellent,348,0,34,0,,34,886400,413700,1300100,1.1538,Kamiloiki,Niu Valley,Kaiser,04 - R-7.5 Residential District,Zone D,Jaymes K Song,BHGRE Advantage Realty,NON MLS,Non-MLS,None,,"In Ground,Tile","3 Car+,Driveway,Garage,Street","Ceramic Tile,Other,W/W Carpet","Asphalt Shingle,Other",Paved Rd,None,"Level,Terraced",Two
FS,,,25,Sold,202110399,1000000,1198000,-198000,-0.1653,HawaiiKai,Kalama Valley,1279 Kaeleku Street ,Honolulu,96825,1-3-9-090-017-0000,3,9,90,17,0,None,950000,9/20/2021,0.95,1.2611,,4,2,1639,610.1281269,9519,0.22,105.0530518,1975,,5/11/2021,63,Above Average,219,0,0,0,,0,702400,191400,893800,1.1188,Kamiloiki,Niu Valley,Kaiser,05 - R-5 Residential District,Zone D,Mark G. Phillips,eXp Realty,Aileen S Rodriguez-Chizer,List Sotheby's Int'l Realty,Mountain,,None,2 Car,Laminate,Composition,Paved Rd,None,"Level,Terraced,Up Slope",Two
FS,,,25,Sold,202119487,1229000,1229000,0,0,HawaiiKai,Hahaione-lower,6614 Kauna Street ,Honolulu,96825,1-3-9-039-100-0000,3,9,39,100,0,None,1365000,9/20/2021,1.1107,0.9004,,3,2,1488,825.9408602,8415,0.19,146.0487225,1966,2002,7/27/2021,12,"Above Average,Average",242,0,0,0,,0,790500,134100,924600,1.3292,Hahaione,Niu Valley,Kaiser,05 - R-5 Residential District,Zone D,Sandra Y Langer,Paradise Pacific Rlty. Inc,Garrett S Taira,AMG Realty Inc,Mountain,,None,"2 Car,Carport,Driveway,Street","Ceramic Tile,Hardwood,W/W Carpet",Composition,"County Rd,Paved Rd",Drainage,"Level,Terraced",One
